,Year,Month,Day,Hour,Minute,Temperature.daily.mean..2.m.above.gnd.,Relative.Humidity.daily.mean..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.mean..MSL.,Total.Precipitation.daily.sum..sfc.,Snowfall.amount.raw.daily.sum..sfc.,Total.Cloud.Cover.daily.mean..sfc.,High.Cloud.Cover.daily.mean..high.cld.lay.,Medium.Cloud.Cover.daily.mean..mid.cld.lay.,Low.Cloud.Cover.daily.mean..low.cld.lay.,Sunshine.Duration.daily.sum..sfc.,Shortwave.Radiation.daily.sum..sfc.,Wind.Speed.daily.mean..10.m.above.gnd.,Wind.Direction.daily.mean..10.m.above.gnd.,Wind.Speed.daily.mean..80.m.above.gnd.,Wind.Direction.daily.mean..80.m.above.gnd.,Wind.Speed.daily.mean..900.mb.,Wind.Direction.daily.mean..900.mb.,Wind.Gust.daily.mean..sfc.,Temperature.daily.max..2.m.above.gnd.,Temperature.daily.min..2.m.above.gnd.,Relative.Humidity.daily.max..2.m.above.gnd.,Relative.Humidity.daily.min..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.max..MSL.,Mean.Sea.Level.Pressure.daily.min..MSL.,Total.Cloud.Cover.daily.max..sfc.,Total.Cloud.Cover.daily.min..sfc.,High.Cloud.Cover.daily.max..high.cld.lay.,High.Cloud.Cover.daily.min..high.cld.lay.,Medium.Cloud.Cover.daily.max..mid.cld.lay.,Medium.Cloud.Cover.daily.min..mid.cld.lay.,Low.Cloud.Cover.daily.max..low.cld.lay.,Low.Cloud.Cover.daily.min..low.cld.lay.,Wind.Speed.daily.max..10.m.above.gnd.,Wind.Speed.daily.min..10.m.above.gnd.,Wind.Speed.daily.max..80.m.above.gnd.,Wind.Speed.daily.min..80.m.above.gnd.,Wind.Speed.daily.max..900.mb.,Wind.Speed.daily.min..900.mb.,Wind.Gust.daily.max..sfc.,Wind.Gust.daily.min..sfc.,pluie.demain
611,2012,2,1,0,0,-1.76,69.96,1020.83,0,0,63.46,0,6.29,59.33,360.28,2631.73,14.8,121.66,16.87,138.03,26.94,76.86,22.68,1.16,-4.34,93,48,1022.7,1019,100,0,0,0,35,0,100,0,26.53,5.4,30.85,2.1,54.75,1.02,41.4,7.56,TRUE
613,2012,2,3,0,0,-6.29,58.75,1028.98,0,0,21.79,0,19.62,14.5,582.4,2795.49,20.04,41.1,22.92,46.17,39.62,72.32,29.44,-3.31,-9.56,77,49,1032.4,1025.1,100,0,0,0,100,0,100,0,30.75,12.1,34.62,11.18,56.85,28.24,42.12,19.08,FALSE
615,2012,2,5,0,0,-7,62.29,1031.05,0,0,0.35,0.75,0.33,0,583.63,2913.86,14.67,84.84,19.67,87.05,36.06,92.65,27.75,-2.43,-10.91,81,46,1033.9,1028.4,4,0,8,0,4,0,0,0,21.75,4.8,28.44,7.34,47.11,26.21,39.6,18.72,FALSE
617,2012,2,7,0,0,-7.07,64.79,1031.06,0,0,63.58,20.5,18.21,63.58,11.32,2411.9,17.44,77.2,20.59,66.05,33.89,73.74,24.89,-4.39,-11.65,80,55,1032.5,1029.8,100,0,100,0,100,0,100,0,25.58,7.93,28.96,9.01,48.79,25.42,36.36,10.44,FALSE
619,2012,2,9,0,0,-5.02,79.88,1033.62,0,0,46.46,16.62,20.29,26.62,311.4,2992.18,9.43,290.06,11.36,257.84,28.35,86.69,12.43,-0.5,-9.6,100,56,1035.7,1030.7,100,0,100,0,100,0,100,0,21.42,0.8,28.12,1.44,50.77,9.09,32.76,2.16,FALSE
621,2012,2,11,0,0,-5.25,63.38,1029.21,0,0,18.04,0,0,18.04,378.62,2898.73,22.07,60.19,27.58,63.12,47.1,77.04,36.74,-1.65,-8.77,72,53,1031.8,1027.2,64,0,0,0,0,0,64,0,32.34,12.22,33.59,18.88,55.94,36.5,42.84,32.04,FALSE
623,2012,2,13,0,0,-3.96,71.54,1026.19,0.9,0,57.85,4.62,47.46,49.67,91.28,2907.63,7.96,245.07,8.88,245.43,16,173.58,11.43,1.17,-9.14,88,52,1029.7,1019.8,100,0,25,0,100,0,100,0,23.78,2.28,30.68,1.14,35.03,8.76,33.48,2.52,TRUE
625,2012,2,15,0,0,2.62,88.42,1017.36,11.5,0.42,91.25,19.75,65.5,86.46,0,843.72,35.2,278.08,42.57,282.31,52.88,311.42,47.64,5.08,0.68,97,76,1020.6,1014.9,100,14,100,0,100,0,100,0,53.16,9.69,62.48,11.97,71.39,24.2,72,10.44,TRUE
627,2012,2,17,0,0,3.06,78.29,1027.21,0,0,21.81,19.25,18.46,3.33,579.64,3276.09,8.13,215.6,9.42,235.16,10.67,275.35,10.62,6.9,0.19,89,71,1028.7,1025.8,100,0,100,0,100,0,19,0,16.98,2.31,18.09,1.44,19.6,2.19,20.88,4.32,FALSE
629,2012,2,19,0,0,5,72.5,1019.56,4,0,69.25,18.33,58.71,67.21,320.81,1986.48,15.78,286.19,21.85,288.48,39.22,286.93,31.1,6.77,2.26,87,53,1027.5,1014,100,0,100,0,100,0,100,0,27.72,5.4,33.84,8.4,67.24,14.29,50.4,9,FALSE
633,2012,2,23,0,0,5.17,64.79,1028.4,0,0,89.19,74.75,71.92,70.83,0,1297.62,6.35,224.49,10.09,241.18,27.65,269.12,10.92,8.11,2.36,81,41,1030.4,1026.4,100,4.5,100,2,100,0,100,0,11.9,3.24,17.29,1.14,39.96,2.41,27.36,2.88,FALSE
635,2012,2,25,0,0,8.5,91.04,1025.38,0.7,0,100,5.96,2.46,100,0,1918.84,7.74,289.59,11.76,294.18,14.31,321.03,11.37,10.66,7.33,97,82,1028.8,1022,100,100,23,0,42,0,100,100,13.8,1.8,21.96,3.24,21.25,7.75,30.96,2.88,TRUE
637,2012,2,27,0,0,4.79,77.04,1027.58,0,0,52.2,13.88,10.83,43.21,274.79,3584.03,3.4,286.24,3.81,298.37,11.29,188.97,4.16,8.48,1.25,96,57,1030,1025.8,100,1.5,87,0,75,0,100,0,6.21,1.08,7.1,0.72,22.33,1.61,7.92,1.08,FALSE
639,2012,2,29,0,0,8.2,84.42,1024.93,0,0,7.28,10.17,5.5,0,600.8,3938.25,4.34,235.32,6.25,236.27,20.41,85.52,4.89,13.84,3.42,97,71,1026.5,1022.5,54,0,43,0,54,0,0,0,6.62,0.72,12.96,2.41,31.61,4.61,7.56,0.72,FALSE
641,2012,3,2,0,0,11.64,81.96,1024.28,0,0,0.81,2.71,0,0,670.41,3998.77,4.39,177.01,5.4,152.71,19.73,242.92,4.26,16.15,7.24,93,69,1026.1,1021.8,4.5,0,15,0,0,0,0,0,7.57,1.08,13.32,0.8,35.14,8.12,7.56,1.8,FALSE
643,2012,3,4,0,0,9.62,78.29,1020.4,0,0,76.49,29.04,25.17,70.38,243.38,3281.43,5.86,140.77,7.4,190.64,8.7,231.02,7.03,13.77,4.78,96,62,1025.3,1013.3,100,1.2,100,0,100,0,100,0,9.69,1.44,13.2,1.08,19.47,0.72,12.24,2.52,TRUE
647,2012,3,8,0,0,5.1,73.04,1027.19,4.6,0,68.67,2.21,21.58,68.67,388.09,2795.49,18.08,281.55,22.99,267.27,37.51,249.05,28.29,7.34,3.12,89,62,1035,1020.5,100,10,29,0,100,0,100,10,29.22,3.32,36.76,8.64,75.86,20.16,55.44,1.08,FALSE
649,2012,3,10,0,0,5.58,65.88,1036.08,0,0,8.44,9.54,7.04,0,628.08,4572.82,6.05,168.72,9.69,166.55,13.45,60.74,7.26,11.07,1.7,77,48,1038.3,1033.4,53,0,26,0,53,0,0,0,13.1,1.14,26.81,3.24,19.47,6.15,26.28,0.72,FALSE
651,2012,3,12,0,0,7.55,82.67,1032.06,0,0,69.05,10.92,0.04,67.96,384.93,4547.9,5.31,194.71,7.88,204.91,17.81,63.92,6.69,12.95,2.03,96,67,1033.6,1029.9,100,2.7,32,0,1,0,100,0,10.85,1.94,15.88,0.72,28.66,6.64,17.28,1.08,FALSE
653,2012,3,14,0,0,8.8,79.62,1029.88,0,0,20.83,0,0,20.83,575.61,4763.28,5.63,225.97,6.61,251.26,13.96,91.59,7.5,14.91,3.21,96,60,1031.6,1028,100,0,0,0,0,0,100,0,11.59,0.72,14.34,1.08,22.2,5.24,13.68,1.8,FALSE
655,2012,3,16,0,0,12.38,59.33,1024.74,0,0,0.12,0.42,0,0,720.46,4932.38,4.98,116.74,5.18,123.02,14.78,240.31,4.69,17.75,6.19,83,34,1027.4,1021.2,0.9,0,3,0,0,0,0,0,8.21,1.44,9.93,1.48,26.83,3.56,8.64,1.8,FALSE
657,2012,3,18,0,0,7.32,82.33,1018.58,16.9,0,73.78,1.62,71.17,62.04,39.57,1023.5,9.14,196.2,12.17,213.13,29.41,260.99,14.41,11.86,5.4,94,44,1022.3,1015.4,100,0,17,0,100,0,100,0,19.85,3.26,25.93,2.9,57.8,12.86,34.2,4.68,TRUE
659,2012,3,20,0,0,6.84,79.38,1033.53,0,0,51.67,4.17,26.67,50,524.27,4870.08,6.33,241.31,9.03,231.12,27.06,84.46,8.64,12.61,1.5,95,59,1035.7,1031.8,100,0,100,0,100,0,100,0,13.1,2.04,24.48,0.36,44.17,5.8,30.6,2.16,FALSE
661,2012,3,22,0,0,11.04,73.33,1028.07,0,0,0.01,0.04,0,0,801.19,5243.88,6.07,174.21,9.73,127.72,23.46,107.14,9.84,16.44,5.11,86,63,1031.9,1024.4,0.3,0,1,0,0,0,0,0,9.78,0.36,21.89,1.48,33.99,7.97,22.68,1.8,FALSE
663,2012,3,24,0,0,12.97,73,1024.07,0,0,10,5.5,5.62,7.96,788.51,5219.85,3.53,214.13,3.91,183.5,9.99,97.61,4.53,17.82,8.2,95,50,1025.4,1022.9,100,0,100,0,100,0,95,0,7.56,0.72,10.97,0.72,16.92,3.6,9,0.72,FALSE
665,2012,3,26,0,0,11.1,70.5,1030,0,0,5.42,0,3.46,1.96,732.22,5511.77,5.19,222.14,7.24,199.9,33.44,85.85,6.42,17.82,5.2,92,48,1031.8,1028.2,47,0,0,0,25,0,47,0,10.83,1.14,16.12,0,49.69,7.93,15.12,0.72,FALSE
667,2012,3,28,0,0,11.95,67.46,1027.66,0,0,0,0,0,0,822.09,5542.03,6.8,248.83,8.56,242.45,27.74,100.29,8.98,18.94,6.37,80,56,1030.3,1024.7,0,0,0,0,0,0,0,0,16.95,1.94,25.93,1.08,46.45,1.84,25.92,1.08,FALSE
669,2012,3,30,0,0,11.12,70.71,1019.98,0,0,34.26,2.33,0,33.75,585.78,5322.2,11.15,311.72,14.2,328.93,24.83,337.48,15.03,14.56,7.6,91,61,1021.4,1017.8,100,0,15,0,0,0,100,0,20.04,6.29,21.41,8.05,41.62,16.09,23.04,7.92,FALSE
675,2012,4,5,0,0,9.74,88.58,1010.35,6.4,0,100,21.79,71.92,99.71,0,2798.16,8.73,267.74,11.24,273.79,16.1,58.9,12.83,11.81,7.26,96,77,1012,1008.2,100,100,100,0,100,0,100,93,15.84,0.72,18.39,0.8,31.18,3.89,21.24,1.08,FALSE
677,2012,4,7,0,0,9.07,74,1006.45,0.2,0,70.38,8.42,45.21,51.88,242.55,4858.51,11.34,228.12,15.15,235.71,16.56,231.13,13.84,11.22,6.53,95,57,1008.5,1005.4,100,3,29,0,100,0,100,0,20.24,1.8,22.8,2.74,29.26,1.02,24.48,0.72,TRUE
681,2012,4,11,0,0,9.35,72.71,1001.4,15.8,0,65.54,24.12,56.21,60.71,370.32,4815.79,13.02,238.13,16.73,250.61,28.95,263.73,22.68,11.81,6.91,97,53,1002.9,998.1,100,0,100,0,100,0,100,0,20.17,0.8,24.99,3.76,55.04,14.11,44.28,5.04,TRUE
683,2012,4,13,0,0,8.31,74.96,1003.94,0,0,38.9,3.92,7.54,31.88,459.33,5973.68,5.56,208.55,7.04,188.84,10.3,147.52,7.14,13.56,3.94,97,50,1006.3,1001.1,100,0,29,0,66,0,100,0,11.18,0.36,20.21,0.36,16.1,6.12,12.96,2.88,TRUE
685,2012,4,15,0,0,7.95,84.33,1001.26,6.2,0,100,78.75,88.96,100,0,1531.69,21.38,239.47,28.45,213.06,47.31,40.24,36.35,10.03,5.43,95,73,1006.7,997.6,100,100,100,11,100,19,100,100,30.62,9,41.76,12.57,71,28.06,57.96,15.48,TRUE
687,2012,4,17,0,0,6.64,70.96,1012.75,0,0,68.95,19.21,37,41.25,317.7,6359.05,4.13,231.79,5.99,186.8,18.05,142.84,6.09,12.11,0.37,92,54,1018.5,1005.4,100,0,100,0,100,0,100,0,10.18,0,19.88,0,33.63,0.8,18.72,0.72,TRUE
689,2012,4,19,0,0,8.48,74.12,993.44,4.2,0,81,15.08,76.5,57.58,93.19,3144.37,9.63,201.27,12.94,211.71,29.64,229.09,17.64,12.03,2.74,94,60,995.6,991.9,100,0,69,0,100,0,100,0,16.28,2.88,20.09,1.44,62.11,6.79,47.16,6.12,TRUE
691,2012,4,21,0,0,8.8,71.92,1003.62,9.3,0,65.79,0.38,54.46,64.96,227.94,2978.83,14.1,225.61,18.41,238.37,41.57,247.62,26.76,12.88,4.22,95,57,1005.6,1001.9,100,1,9,0,100,0,100,0,33.91,2.97,44.7,6.79,81.04,23.77,61.92,5.04,TRUE
693,2012,4,23,0,0,9.16,66.83,1006.1,2.4,0,69.92,33.58,62.42,59.96,292.98,5473.5,14.31,207.72,19.39,218.5,38.46,235.55,27.3,14.81,4.33,88,43,1012,999.8,100,10,100,0,100,0,100,0,28.51,5.59,37.19,5,78.54,10.5,63.72,7.56,TRUE
695,2012,4,25,0,0,10.57,64.42,1004.88,0,0,63.4,28.46,61.92,52.71,282.28,4682.29,15.15,178.26,20.28,183.51,38.8,224.62,27.23,16.06,2.48,93,37,1008.3,1001.3,100,0,100,0,100,0,100,0,27.07,8.4,35.81,10.19,68.4,17.85,53.64,8.64,TRUE
697,2012,4,27,0,0,17.02,67.54,1013.33,0,0,34.73,15.75,17.12,17.38,749,6978.49,8.3,142.96,11.77,144.29,13.64,178.31,9.78,24,10.38,81,50,1015.1,1010.7,100,0,100,0,100,0,100,0,19.59,0.72,22.33,3.98,29.31,2.52,23.04,3.96,FALSE
699,2012,4,29,0,0,16.72,74.96,1008.61,2.6,0,81.5,58,64.54,29.62,182.57,3389.12,12.47,199.04,16.44,201.51,20.38,216.44,15.09,21.5,13.84,97,57,1014.4,1004.9,100,10,100,0,100,0,100,0,27.44,2.6,37.8,4.1,41.53,3.42,34.56,3.6,FALSE
701,2012,5,1,0,0,14.56,70.38,1015.27,2.6,0,90.83,46.25,67.5,73.79,125.11,5766.31,7.19,284.9,9.91,274.59,25.92,221.51,15.88,19.02,9.87,93,46,1016.9,1013.2,100,20,100,0,100,0,100,0,13.55,2.74,21.75,2.41,54.65,6.49,34.56,3.96,TRUE
705,2012,5,5,0,0,13.49,74,1006.7,5,0,90.25,78.12,88.5,79.08,137.87,3223.58,12.84,216.65,17.16,224.45,37.33,248.95,24.36,17,10.72,92,61,1008.6,1004.9,100,10,100,0,100,0,100,10,27.66,4.07,38.05,3.6,71.39,10.37,56.16,6.12,TRUE
709,2012,5,9,0,0,15.99,78.5,1017.77,4.6,0,69.4,40.33,58.71,45.29,198.59,3281.43,6.83,179.32,8.81,195.65,32.09,248.97,9.88,19.5,11.4,90,70,1021.2,1015,100,4.2,100,0,100,0,100,0,10.31,2.16,16.31,1.02,61.51,12.74,33.12,2.52,FALSE
711,2012,5,11,0,0,22.85,60.96,1022.43,0,0,20.9,45.54,8.33,10.04,802.34,7371.87,7.07,201.44,9.34,203.17,18.36,260.75,9.13,28.03,17.41,83,40,1025,1020.9,100,0.6,100,2,100,0,100,0,18.89,1.14,27.53,0.36,35.03,5.51,32.04,2.16,TRUE
713,2012,5,13,0,0,10.76,66.29,1026.7,0,0,56.79,0,0,56.79,331.46,6085.82,9.44,117.59,12.25,104.5,25.16,73.71,13.26,15.26,3.8,93,44,1030.4,1022.8,100,0,0,0,0,0,100,0,17.45,3.6,20.19,3.4,38.6,16.18,22.68,1.44,FALSE
715,2012,5,15,0,0,9.38,69.67,1013.95,6.3,0,63.17,1.25,43.58,60.08,65.11,3204,17.55,236.99,21.67,237.99,33.22,253.69,26.34,12.44,5.64,84,50,1018.6,1011.9,100,0,29,0,100,0,100,0,28.14,4.02,35.46,3.98,51.63,4.1,47.88,3.6,TRUE
719,2012,5,19,0,0,17.72,69.08,1010.33,1.3,0,46.3,23.29,35.92,30.38,577.98,7485.79,12.13,120.55,16.32,121.9,16.36,132.86,13.93,23.46,11.22,91,49,1013.7,1006.3,100,0,100,0,100,0,100,0,20.63,3.96,22.42,7.24,34.16,2.62,25.56,2.16,TRUE
721,2012,5,21,0,0,15.88,79.08,1000.09,0.2,0,79.08,50.25,77.04,48.58,293.62,6376.85,13.99,268.92,17.77,270.39,25.95,279.79,23.79,19.24,13.59,93,66,1002.6,998.9,100,10,100,0,100,0,100,0,20.16,6.76,21.6,11.93,46.05,17.65,34.56,18.36,TRUE
723,2012,5,23,0,0,17.64,87.79,1018.85,0.2,0,83.71,0.17,0.83,83.71,128.3,2916.53,5.58,273.61,6.23,265.82,13.2,96.74,8.32,20.37,14.57,97,80,1023.2,1014.4,100,10,3,0,10,0,100,10,12.65,2.81,19.35,1.94,23.4,7.92,21.6,2.16,FALSE
725,2012,5,25,0,0,17.86,71.46,1018.71,0,0,30.44,3.42,0.29,29.38,548.81,6949.12,11.61,161.18,15.7,158.14,43.31,87.83,15.89,23.41,13.66,97,41,1020.4,1016.4,100,0,22,0,7,0,100,0,24.25,0.36,28.98,2.55,61.44,32.43,38.88,1.08,FALSE
727,2012,5,27,0,0,16.14,68.83,1017.24,0.1,0,44.25,18.71,44.21,4.62,236.07,6184.61,6.94,126.03,10.05,122.73,19.96,92.75,9.14,21.25,9.78,96,49,1018.8,1015.7,100,0,100,0,100,0,100,0,16.2,0,18,1.02,41.49,4.9,18.36,1.08,FALSE
729,2012,5,29,0,0,19.03,66.12,1014.98,0,0,24,0,0,24,844.14,7848.91,8.2,193.59,9.88,213.42,12.82,180.85,10.35,23.34,14,82,45,1016.3,1013.5,100,0,0,0,0,0,100,0,15.14,1.44,15.86,1.08,18.23,7.57,17.28,1.44,TRUE
731,2012,5,31,0,0,19.23,71.54,1018.49,1.9,0,54.49,45.5,45.54,38.17,591.82,5878.45,11.48,249.55,15.17,260.21,22.11,278.41,16.95,23.64,15.55,88,54,1019.9,1017.2,100,0,100,0,100,0,100,0,17.87,1.48,25.2,1.8,41.21,11.57,34.2,1.8,FALSE
733,2012,6,2,0,0,18.73,72.62,1014.32,0,0,38.78,15.12,21.54,16.67,511.4,7763.47,4.91,209.72,5.15,208.65,6.32,231.78,5.59,24.43,12.58,97,48,1017.5,1010.1,100,0,100,0,100,0,100,0,8.12,0.72,9.96,0.8,17.64,1.14,7.92,0.72,TRUE
735,2012,6,4,0,0,15.46,74.58,1012.9,3.7,0,79.58,32.62,55.42,78.38,282.13,6053.78,18.29,262.12,23.47,263.53,38.69,274.6,32.46,17.32,13.9,86,59,1015.1,1010.8,100,2,100,0,100,0,100,1,24.97,8.09,30.5,14.04,59.78,29.83,45.72,17.28,TRUE
737,2012,6,6,0,0,16.14,80,1010.52,9,0,92.95,56.33,87,64.17,25.22,2963.7,7.53,198.67,11.99,200.08,29.2,243.34,11.52,19.27,12.61,90,69,1013.4,1008.9,100,9.9,100,0,100,0,100,0,22.55,0.8,28.23,1.3,52.6,12.96,38.88,0.36,TRUE
739,2012,6,8,0,0,16.01,81.5,1011.41,8,0,79.71,16.67,78.04,59.21,29.23,2731.41,10.05,214.6,13.28,230.23,33.64,265.43,18.89,18.28,13.83,94,66,1014.3,1008,100,0,100,0,100,0,100,0,18,4.32,25.56,5.15,55.04,21.76,39.24,5.76,FALSE
741,2012,6,10,0,0,15.02,76.17,1011.78,3.6,0,94.08,25.42,76.33,83.62,79.79,5683.54,5.51,169.42,6.74,184.46,8.57,205.39,7.3,18.4,11.96,90,63,1015.2,1006.4,100,28,100,0,100,0,100,0,9.34,1.8,17.07,1.8,18.86,2.9,13.32,1.08,TRUE
743,2012,6,12,0,0,13.3,84.67,1005.39,16.6,0,100,94.54,100,97.38,0,1660.74,13.51,228.17,18.17,229.37,35.31,247.14,26.49,15.01,11.9,96,75,1010,1002.6,100,100,100,24,100,100,100,37,23.04,3.26,29.16,3.08,57.98,0.72,45.72,3.96,TRUE
747,2012,6,16,0,0,21.87,62.71,1017.11,0,0,6.25,0,4.58,4.83,993.12,8155.96,7.53,193.93,8.98,197.83,28.34,248.71,9.95,27.29,15.61,90,51,1018.8,1015.2,100,0,0,0,100,0,66,0,13.9,2.62,26.37,1.53,56.87,6.03,29.88,2.52,TRUE
751,2012,6,20,0,0,19.95,89.08,1013.93,12.7,0,79.1,49.38,77.33,65.83,209.49,2730.52,5.11,228.84,7.03,236.46,24.15,242.17,7.42,21.38,18.05,97,80,1015.7,1012,100,0,100,0,100,0,100,0,11.04,0.36,14.35,0.72,43.74,5.69,25.92,0.36,TRUE
755,2012,6,24,0,0,19.42,70.08,1018.7,0,0,50.26,53,46.71,22.58,326.08,5900.7,11.53,225.58,14.81,238.19,27.56,251.94,19.99,24.49,14.05,90,53,1023.1,1015.1,100,0,100,0,100,0,100,0,23.8,0.8,33.39,1.08,66.01,3.6,48.24,1.08,TRUE
757,2012,6,26,0,0,17.55,79.79,1021.51,0.3,0,97.42,7.08,40.5,89.38,0,4350.32,8.1,223.69,9.5,242.13,18.7,280.81,10.29,21.03,13.66,96,65,1023,1019.9,100,41,28,0,100,0,100,10,16.97,1.08,18.79,1.14,25.42,12.96,19.8,0.72,FALSE
759,2012,6,28,0,0,23.55,74.75,1011.53,0.1,0,59.01,38.33,57.25,1.04,206.69,5180.69,9.9,147.6,14.05,155.67,12.73,194.41,10.44,29.85,17.15,87,58,1015.6,1008.4,100,0,100,0,100,0,10,0,20.9,2.62,24.91,2.81,26.34,2.28,21.6,3.96,TRUE
761,2012,6,30,0,0,24.39,76.5,1011.58,1.6,0,22,2.17,3.83,22,672.02,7465.32,6.71,298.08,8.12,292.59,13.12,221.83,8.03,29,19.24,92,64,1013.9,1009.1,100,0,52,0,52,0,100,0,15.63,0.36,20.93,1.8,41.65,3.32,22.32,2.52,TRUE
765,2012,7,4,0,0,20.67,76.42,1012.98,0,0,67,61.54,61.88,15.54,135.78,6017.29,7.7,136.52,11.5,137.29,9.49,140.14,8.95,25.18,15.18,96,58,1016.5,1010.5,100,0,100,0,100,0,100,0,14.58,0.36,22.1,0.72,15.28,2.31,21.6,0.72,TRUE
767,2012,7,6,0,0,18.51,79.33,1012.31,9.8,0,77.38,10.96,61.17,59.42,291.06,6185.5,5.77,197.45,8.5,199.98,13.14,238.14,12.86,22.28,14.4,92,62,1014.1,1010.3,100,0,100,0,100,0,100,0,16.52,0.36,22.1,0.36,37.21,3.26,33.12,2.16,FALSE
769,2012,7,8,0,0,19.5,72.88,1011.4,3.9,0,27.58,4.29,21,14.96,650.24,7064.82,14.42,216.55,20.58,216.04,31.63,229.93,23.31,23.34,16,85,55,1014.3,1007.7,100,0,100,0,100,0,100,0,22.32,3.62,26.76,2.9,47.24,20.99,31.68,2.88,FALSE
771,2012,7,10,0,0,19.56,74.92,1014.48,0.6,0,44.71,0.21,19.75,41.17,555.94,6163.25,5.34,224.62,5.92,246.34,12,264.48,6.72,23.71,15.21,97,59,1015.7,1013.3,100,0,5,0,100,0,100,0,11.44,1.02,11.59,0.51,16.1,7.57,14.04,1.44,TRUE
773,2012,7,12,0,0,16.24,70.88,1018.42,1,0,54.66,24.71,45.25,26.04,612.81,7831.11,14.32,261.61,18.12,269.12,31.06,272.06,22.44,19.36,11.29,88,58,1020,1016.5,100,0,100,0,100,0,100,0,24.22,3.24,26.73,5.69,49.15,13.36,35.64,8.64,TRUE
777,2012,7,16,0,0,15.27,70.88,1026.49,0,0,20.07,0.62,0,20.04,833.31,7754.57,10.73,262.06,14.29,272.31,25.29,278.91,16.14,20.08,9.16,89,53,1027.8,1024.8,100,0,5,0,0,0,100,0,18.58,2.19,20.72,1.8,39.25,17.11,26.28,2.88,FALSE
779,2012,7,18,0,0,19.97,71.29,1019.85,0,0,39.46,19.71,26.12,17.08,393.19,7264.18,9.19,216.38,11.99,227.54,26.15,263.54,13.15,26.51,12.87,96,50,1026,1013.7,100,0,100,0,100,0,100,0,19.49,1.8,22.71,1.84,47.17,10.97,31.32,1.08,FALSE
781,2012,7,20,0,0,16.03,84.62,1015.88,4.8,0,90.12,50,78.96,60.96,19.79,2375.41,6.76,277.41,8.49,288.07,15.54,290.72,9.42,18.46,14.25,95,70,1018.7,1014.2,100,2,100,0,100,0,100,0,11.59,1.8,15.63,2.1,25.93,4.9,17.28,3.6,TRUE
783,2012,7,22,0,0,14.73,75.46,1024.72,0,0,53.62,3.92,0,53.33,502.78,7171.62,8.29,165.96,10.16,134.31,21.32,82.34,12.11,20.57,9.22,96,47,1026.3,1023.7,100,0,53,0,0,0,100,0,17.11,1.3,25.1,0.36,42.84,7.99,36,1.8,FALSE
785,2012,7,24,0,0,19.86,71.67,1016.96,0,0,0.53,0.92,0,0.25,859.2,7644.21,5.86,212.24,8.75,215.09,10.85,225.77,6.61,26.51,12.02,97,55,1019.8,1014.1,6,0,18,0,0,0,6,0,12.64,1.61,21.37,1.84,37.73,3.1,15.48,0.72,FALSE
787,2012,7,26,0,0,24.28,65.54,1015.68,0,0,0,0,0,0,854.59,7625.52,7.54,110.44,12.4,109.33,12.86,102.05,7.8,30.38,18.15,86,44,1017,1014.6,0,0,0,0,0,0,0,0,11.3,1.44,22.22,3.22,20.83,5.05,12.96,2.16,TRUE
789,2012,7,28,0,0,21.4,76.38,1011.38,8.4,0,60,41,53.25,29.38,221.32,3449.64,7.2,228.15,10.63,237.32,20.94,256.12,11.05,22.89,19.09,87,57,1012.4,1010.2,100,0.6,100,0,100,0,100,0,16.65,1.14,25.03,1.48,35.26,9.5,28.08,1.08,TRUE
791,2012,7,30,0,0,18.22,67.67,1018.96,0,0,30.7,22.83,29,7.12,633.32,7242.82,8.8,260.45,10.71,277.85,18.55,271.68,12.26,22.81,11.99,87,50,1020.3,1017.8,100,0,100,0,100,0,76,0,13.4,4.69,15.53,6.49,28.55,7.86,19.8,6.12,FALSE
793,2012,8,1,0,0,22.64,69.33,1013.46,1.2,0,16.25,12.12,16.25,3.21,736.8,7284.65,12.01,117.62,17.41,120.65,15.08,153.73,15.19,29.23,15.9,85,50,1017.2,1009.6,100,0,100,0,100,0,77,0,20.06,5.5,25.57,10.5,28.89,6.38,32.4,5.4,TRUE
795,2012,8,3,0,0,20.5,71.67,1016.85,0.1,0,47.3,13.83,16.83,36,572.47,6564.64,7.7,259.17,10.46,276.92,13.71,276.51,10.89,23.47,16.95,89,52,1018,1015.8,100,0,100,0,100,0,100,0,13.49,1.3,17.31,2.81,23.07,5.15,20.52,1.08,FALSE
797,2012,8,5,0,0,20.76,83.58,1010.6,3.4,0,82.61,48.08,77.88,47.25,242.17,5129.96,7.23,181.81,9.56,187.69,14.63,190.94,8.77,25.5,17.66,97,63,1012.4,1008.7,100,0,100,0,100,0,100,0,15.19,1.8,22.38,1.08,26.98,6.49,23.04,1.8,TRUE
799,2012,8,7,0,0,17.25,71.46,1023.05,0.1,0,7.67,0,0,7.67,889.48,6932.21,9.62,249.44,12.12,265.57,23.89,284.61,11.87,21.31,11.77,96,56,1024.1,1020.9,100,0,0,0,0,0,100,0,17.58,3.4,18.36,4.1,34.71,8.44,21.24,2.52,FALSE
801,2012,8,9,0,0,19.48,71.5,1022.99,0,0,14.15,23,11.58,0.04,780.55,6928.65,6.47,290.49,7.81,277.56,11.38,157.66,7.99,24.67,14.28,92,49,1023.9,1021.4,100,0,100,0,100,0,1,0,13.01,0.8,21.96,0.36,15.88,3.96,20.16,0.36,FALSE
